id,0.1_100_7_tarantula,0.1_100_7_ochiai,0.1_100_7_D_star,0.1_100_7_Op2,0.1_100_7_Barinel,0.1_100_7_time,0.1_200_7_tarantula,0.1_200_7_ochiai,0.1_200_7_D_star,0.1_200_7_Op2,0.1_200_7_Barinel,0.1_200_7_time,0.1_500_7_tarantula,0.1_500_7_ochiai,0.1_500_7_D_star,0.1_500_7_Op2,0.1_500_7_Barinel,0.1_500_7_time,0.1_1000_7_tarantula,0.1_1000_7_ochiai,0.1_1000_7_D_star,0.1_1000_7_Op2,0.1_1000_7_Barinel,0.1_1000_7_time,0.1_2000_7_tarantula,0.1_2000_7_ochiai,0.1_2000_7_D_star,0.1_2000_7_Op2,0.1_2000_7_Barinel,0.1_2000_7_time
56218256.0,1.0,1.0,1.0,1.0,1.0,0.7392446994781494,1.0,1.0,1.0,1.0,1.0,0.9373290538787842,1.0,1.0,1.0,1.0,1.0,1.7041237354278564,1.0,1.0,1.0,1.0,1.0,3.7265405654907227,1.0,1.0,1.0,1.0,1.0,3.089961051940918
55198221.0,1.0,1.0,1.0,1.0,1.0,0.689640998840332,1.0,1.0,1.0,1.0,1.0,0.9467413425445557,1.0,1.0,1.0,1.0,1.0,2.2027881145477295,1.0,1.0,1.0,1.0,1.0,4.807891607284546,1.0,1.0,1.0,1.0,1.0,8.071385383605957
54811239.0,1.0,1.0,1.0,1.0,1.0,0.4696164131164551,1.0,1.0,1.0,1.0,1.0,0.35227227210998535,1.0,1.0,1.0,1.0,1.0,0.3596768379211426,1.0,1.0,1.0,1.0,1.0,0.553441047668457,1.0,1.0,1.0,1.0,1.0,0.40242624282836914
54738769.0,1.0,1.0,1.0,1.0,1.0,0.19273996353149414,1.0,1.0,1.0,1.0,1.0,0.16688275337219238,1.0,1.0,1.0,1.0,1.0,0.16708922386169434,1.0,1.0,1.0,1.0,1.0,0.22207355499267578,1.0,1.0,1.0,1.0,1.0,0.17752671241760254
54282951.0,0.0,0.0,0.0,0.0,0.0,0.532095193862915,0.0,0.0,0.0,0.0,0.0,0.45897698402404785,0.0,0.0,0.0,0.0,0.0,0.5853149890899658,0.0,0.0,0.0,0.0,0.0,1.1968660354614258,0.0,0.0,0.0,0.0,0.0,1.2453138828277588
54064299.0,1.0,1.0,1.0,1.0,1.0,11.138965368270874,1.0,1.0,1.0,1.0,1.0,4.548895835876465,1.0,1.0,1.0,1.0,1.0,8.86695909500122,1.0,1.0,1.0,1.0,1.0,19.71311640739441,1.0,1.0,1.0,1.0,1.0,30.466883420944214
53749895.0,0.0,0.0,0.0,0.0,0.0,1.5542023181915283,0.0,0.0,0.0,0.0,0.0,0.3643817901611328,0.0,0.0,0.0,0.0,0.0,0.40490293502807617,0.0,0.0,0.0,0.0,0.0,0.6154639720916748,0.0,0.0,0.0,0.0,0.0,0.37601208686828613
53700537.0,0.0,0.0,0.0,0.0,0.0,1.6074857711791992,0.0,0.0,0.0,0.0,0.0,2.3217451572418213,0.0,0.0,0.0,0.0,0.0,5.52159857749939,0.0,0.0,0.0,0.0,0.0,13.082377672195435,0.0,0.0,0.0,0.0,0.0,21.65263533592224
52983831.0,1.0,1.0,1.0,1.0,1.0,0.6804978847503662,1.0,1.0,1.0,1.0,1.0,0.5647473335266113,1.0,1.0,1.0,1.0,1.0,0.5131633281707764,1.0,1.0,1.0,1.0,1.0,0.722787618637085,1.0,1.0,1.0,1.0,1.0,0.6123781204223633
52566823.0,1.0,0.0,0.0,0.0,1.0,0.1331186294555664,1.0,0.0,0.0,0.0,1.0,0.1026461124420166,1.0,0.0,0.0,0.0,1.0,0.10428047180175781,1.0,0.0,0.0,0.0,1.0,0.13332200050354004,1.0,0.0,0.0,0.0,1.0,0.10980057716369629
51930566.0,1.0,1.0,1.0,1.0,1.0,0.10090994834899902,1.0,1.0,1.0,1.0,1.0,0.06394314765930176,1.0,1.0,1.0,1.0,1.0,0.0637962818145752,1.0,1.0,1.0,1.0,1.0,0.10167527198791504,1.0,1.0,1.0,1.0,1.0,0.0686957836151123
51901386.0,0.0,1.0,1.0,1.0,0.0,7.797959327697754,0.0,1.0,1.0,1.0,0.0,2.2563095092773438,0.0,1.0,1.0,1.0,0.0,4.116994380950928,0.0,1.0,1.0,1.0,0.0,8.97360110282898,0.0,1.0,1.0,1.0,0.0,11.569415807723999
51749207.0,1.0,1.0,1.0,1.0,1.0,0.518979549407959,1.0,1.0,1.0,1.0,1.0,0.804863691329956,1.0,1.0,1.0,1.0,1.0,1.7677092552185059,1.0,1.0,1.0,1.0,1.0,3.913933038711548,1.0,1.0,1.0,1.0,1.0,7.024143218994141
51581521.0,1.0,1.0,1.0,1.0,1.0,5.104731798171997,1.0,1.0,1.0,1.0,1.0,3.972383975982666,1.0,1.0,1.0,1.0,1.0,7.256321907043457,1.0,1.0,1.0,1.0,1.0,16.327264070510864,1.0,1.0,1.0,1.0,1.0,23.112284898757935
51185079.0,1.0,1.0,1.0,1.0,1.0,1.2963447570800781,1.0,1.0,1.0,1.0,1.0,1.9931135177612305,1.0,1.0,1.0,1.0,1.0,2.5563297271728516,1.0,1.0,1.0,1.0,1.0,2.9789552688598633,1.0,1.0,1.0,1.0,1.0,2.730700969696045
50914860.0,1.0,1.0,1.0,1.0,1.0,4.311560153961182,1.0,1.0,1.0,1.0,1.0,3.571380615234375,1.0,1.0,1.0,1.0,1.0,6.457094192504883,1.0,1.0,1.0,1.0,1.0,13.581708669662476,1.0,1.0,1.0,1.0,1.0,19.975985765457153
50555434.0,1.0,1.0,0.0,1.0,1.0,0.22643566131591797,1.0,1.0,0.0,1.0,1.0,0.19173669815063477,1.0,1.0,0.0,1.0,1.0,0.19884490966796875,1.0,1.0,0.0,1.0,1.0,0.24611353874206543,1.0,1.0,0.0,1.0,1.0,0.20705914497375488
50338865.0,0.0,0.0,0.0,1.0,0.0,0.6667661666870117,0.0,0.0,0.0,1.0,0.0,0.5355508327484131,0.0,0.0,0.0,1.0,0.0,0.5458338260650635,0.0,0.0,0.0,1.0,0.0,1.0525894165039062,0.0,0.0,0.0,1.0,0.0,0.5821294784545898
50079585.0,1.0,0.0,0.0,0.0,0.0,4.67214560508728,1.0,0.0,0.0,1.0,1.0,2.9605958461761475,1.0,0.0,0.0,1.0,1.0,6.184176445007324,1.0,0.0,0.0,1.0,1.0,13.906473159790039,1.0,0.0,0.0,1.0,1.0,21.32230567932129
49583466.0,0.0,0.0,0.0,0.0,1.0,3.31679630279541,0.0,0.0,0.0,0.0,1.0,2.908198118209839,0.0,0.0,0.0,0.0,1.0,2.9657721519470215,0.0,0.0,0.0,0.0,1.0,3.3268837928771973,0.0,0.0,0.0,0.0,1.0,2.9681851863861084
48976413.0,1.0,1.0,1.0,1.0,1.0,0.32204151153564453,1.0,1.0,1.0,1.0,1.0,0.28768062591552734,1.0,1.0,1.0,1.0,1.0,0.29793453216552734,1.0,1.0,1.0,1.0,1.0,0.34484148025512695,1.0,1.0,1.0,1.0,1.0,0.2902190685272217
48486598.0,0.0,0.0,0.0,0.0,0.0,0.09764361381530762,0.0,0.0,0.0,0.0,0.0,0.08031344413757324,0.0,0.0,0.0,0.0,0.0,0.09389424324035645,0.0,0.0,0.0,0.0,0.0,0.1172780990600586,0.0,0.0,0.0,0.0,0.0,0.08921551704406738
48385830.0,0.0,0.0,0.0,0.0,0.0,4.3076560497283936,0.0,0.0,0.0,0.0,0.0,3.8596689701080322,0.0,0.0,0.0,0.0,0.0,3.8223893642425537,0.0,0.0,0.0,0.0,0.0,4.399717330932617,0.0,0.0,0.0,0.0,0.0,3.891510248184204
48251943.0,1.0,1.0,1.0,1.0,1.0,0.07070159912109375,1.0,1.0,1.0,1.0,1.0,0.058686256408691406,1.0,1.0,1.0,1.0,1.0,0.06187629699707031,1.0,1.0,1.0,1.0,1.0,0.0839996337890625,1.0,1.0,1.0,1.0,1.0,0.06253552436828613
48221692.0,1.0,1.0,1.0,1.0,1.0,0.07239556312561035,1.0,1.0,1.0,1.0,1.0,0.06837868690490723,1.0,1.0,1.0,1.0,1.0,0.0656137466430664,1.0,1.0,1.0,1.0,1.0,0.12066936492919922,1.0,1.0,1.0,1.0,1.0,0.07018184661865234
47735201.0,0.0,0.0,0.0,0.0,0.0,134.36973023414612,0.0,0.0,0.0,0.0,0.0,243.6152069568634,0.0,0.0,0.0,0.0,0.0,516.2438430786133,0.0,0.0,0.0,0.0,0.0,1142.5444359779358,0.0,0.0,0.0,0.0,0.0,2036.9618155956268
47704695.0,1.0,1.0,1.0,1.0,1.0,1.9389922618865967,1.0,1.0,1.0,1.0,1.0,2.79691481590271,1.0,1.0,1.0,1.0,1.0,6.5449864864349365,1.0,1.0,1.0,1.0,1.0,15.53646445274353,1.0,1.0,1.0,1.0,1.0,25.013185262680054
