,deeplocalize,deepdiagnosis,deepmufl,umlaut,neuralint,combine
tarantula,28.88888888888889,30.555555555555557,23.88888888888889,23.333333333333332,25.22222222222222,67.11111111111111
ochiai,29.0,30.333333333333332,26.666666666666668,21.666666666666668,26.22222222222222,68.22222222222223
D_star,28.444444444444443,29.77777777777778,24.333333333333332,21.22222222222222,22.11111111111111,64.66666666666667
Op2,28.0,29.333333333333332,24.666666666666668,22.0,25.555555555555557,66.22222222222223
Barinel,29.0,29.666666666666668,24.666666666666668,21.666666666666668,25.22222222222222,66.88888888888889
