0,1,2,3,4,5
58.66666667,78.88888889,70.77777778,77.55555556,59.22222222,69.02222222
61.33333333,75.33333333,68.33333333,75,60.55555556,68.11111111
57.22222222,72.33333333,68.11111111,71.33333333,56.88888889,65.17777778
55.33333333,62.11111111,57,61.33333333,53.55555556,57.86666667
51,58.77777778,54.66666667,59.55555556,50,54.8
56.77777778,79.22222222,71.22222222,77.66666667,56.22222222,68.22222222
57.77777778,78.33333333,71.22222222,78.22222222,58.66666667,68.84444444
59.11111111,79,70.66666667,78.33333333,59.66666667,69.35555556
59.55555556,79,70.88888889,78.33333333,59.55555556,69.46666667
