id,time,1,2,3,4,5,6,7,8,9
74669249,2016.5964486598969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
74200607,3169.675083875656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73567385,1195.0138547420502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73308371,911.6016533374786,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
73275569,3169393.9804058075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
72965428,147.6365659236908,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1
72802464,16468.303109645844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72744278,240.62539339065552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72676542,442.9284508228302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71715697,415768.2892193794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70650848,46.85504150390625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
70589997,156.84720182418823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70148149,46941.74327421188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
69901379,246.92039966583252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
69787272,117.8324818611145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
68938619,44.581751585006714,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
68751439,986.6481440067291,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
68458462,24.702028036117554,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
68321264,453.24761748313904,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
68101077,1850.2745785713196,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
67529687,,,,,,,,,,0
66840108,927.114339351654,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
66602662,249.222510099411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66407123,201.8909957408905,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
66235657,2632.9717724323273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66087653,1501.0116362571716,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
65777704,4282.414854764938,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0
65669308,64.90407490730286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64413907,200.48723220825195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64395424,327.33161187171936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64387251,622163.2822210789,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
64237179,127298.38413333893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
63212385,4741.127965450287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62957334,116.54045534133911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62440336,59840.40711212158,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
62313327,176.36495447158813,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
62068109,517.6027109622955,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
62055783,892.2102971076965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61997645,32.551628828048706,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
61886777,6889.91708111763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61763616,82.49796795845032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61498304,1048.4524347782135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61274792,5271.363717794418,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
61234347,26616.558893680573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
60874661,665.5984392166138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60831731,9.944948196411133,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
60801900,,,,,,,,,,0
60766775,116.59182024002075,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
60574843,227.88450241088867,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
