id,0.1_100_11_tarantula,0.1_100_11_ochiai,0.1_100_11_D_star,0.1_100_11_Op2,0.1_100_11_Barinel,0.1_100_11_time,0.1_200_11_tarantula,0.1_200_11_ochiai,0.1_200_11_D_star,0.1_200_11_Op2,0.1_200_11_Barinel,0.1_200_11_time,0.3_200_11_tarantula,0.3_200_11_ochiai,0.3_200_11_D_star,0.3_200_11_Op2,0.3_200_11_Barinel,0.3_200_11_time,0.5_200_11_tarantula,0.5_200_11_ochiai,0.5_200_11_D_star,0.5_200_11_Op2,0.5_200_11_Barinel,0.5_200_11_time,0.7_200_11_tarantula,0.7_200_11_ochiai,0.7_200_11_D_star,0.7_200_11_Op2,0.7_200_11_Barinel,0.7_200_11_time,0.9_200_11_tarantula,0.9_200_11_ochiai,0.9_200_11_D_star,0.9_200_11_Op2,0.9_200_11_Barinel,0.9_200_11_time,0.1_500_11_tarantula,0.1_500_11_ochiai,0.1_500_11_D_star,0.1_500_11_Op2,0.1_500_11_Barinel,0.1_500_11_time,0.1_1000_11_tarantula,0.1_1000_11_ochiai,0.1_1000_11_D_star,0.1_1000_11_Op2,0.1_1000_11_Barinel,0.1_1000_11_time,0.1_2000_11_tarantula,0.1_2000_11_ochiai,0.1_2000_11_D_star,0.1_2000_11_Op2,0.1_2000_11_Barinel,0.1_2000_11_time
74669249.0,1.0,1.0,1.0,1.0,1.0,5.931987047195435,1.0,1.0,1.0,1.0,1.0,9.399142026901245,1.0,1.0,1.0,1.0,1.0,7.993526458740234,1.0,1.0,1.0,1.0,1.0,7.811080694198608,1.0,1.0,1.0,1.0,1.0,7.931713819503784,1.0,1.0,1.0,1.0,1.0,7.822991609573364,1.0,1.0,1.0,1.0,1.0,17.788153886795044,1.0,1.0,1.0,1.0,1.0,31.579500198364258,1.0,1.0,1.0,1.0,1.0,59.34285068511963
74200607.0,0.0,0.0,0.0,0.0,0.0,11.421981811523438,0.0,0.0,0.0,0.0,0.0,11.218390226364136,0.0,0.0,0.0,0.0,0.0,10.010971307754517,0.0,0.0,0.0,0.0,0.0,9.570745944976807,0.0,0.0,0.0,0.0,0.0,9.193907737731934,0.0,0.0,0.0,0.0,0.0,9.423577070236206,0.0,0.0,0.0,0.0,0.0,13.511781215667725,0.0,0.0,0.0,0.0,0.0,11.621675729751587,0.0,0.0,0.0,0.0,0.0,13.124183654785156
73567385.0,0.0,0.0,0.0,0.0,0.0,680.5127041339874,0.0,0.0,0.0,0.0,0.0,915.6585309505463,0.0,0.0,0.0,0.0,0.0,485.8141140937805,0.0,0.0,0.0,0.0,0.0,524.2370526790619,0.0,0.0,0.0,0.0,0.0,641.1006217002869,0.0,0.0,0.0,0.0,0.0,510.651606798172,0.0,0.0,0.0,0.0,0.0,2001.4627964496613,0.0,0.0,0.0,0.0,0.0,2860.1244492530823,0.0,0.0,0.0,0.0,0.0,5133.953465461731
73308371.0,1.0,1.0,1.0,1.0,1.0,0.3917691707611084,1.0,1.0,1.0,1.0,1.0,0.23380088806152344,1.0,1.0,1.0,1.0,1.0,0.14546513557434082,1.0,1.0,1.0,1.0,1.0,0.1457219123840332,1.0,1.0,1.0,1.0,1.0,0.14373111724853516,1.0,1.0,1.0,1.0,1.0,0.14233851432800293,1.0,1.0,1.0,1.0,1.0,0.299407958984375,1.0,1.0,1.0,1.0,1.0,0.1901869773864746,1.0,1.0,1.0,1.0,1.0,0.18398737907409668
73275569.0,0.0,0.0,0.0,0.0,0.0,4.961824178695679,0.0,0.0,0.0,0.0,0.0,15.314462661743164,0.0,0.0,0.0,0.0,0.0,6.355302572250366,0.0,0.0,0.0,0.0,0.0,6.263562440872192,0.0,0.0,0.0,0.0,0.0,6.343161582946777,0.0,0.0,0.0,0.0,0.0,6.271834850311279,0.0,0.0,0.0,0.0,0.0,16.282522439956665,0.0,0.0,0.0,0.0,0.0,28.560662508010864,0.0,0.0,0.0,0.0,0.0,52.704918384552
72965428.0,0.0,0.0,0.0,0.0,0.0,57.025752782821655,0.0,0.0,0.0,0.0,0.0,132.97316765785217,1.0,1.0,1.0,1.0,1.0,89.51653361320496,0.0,0.0,0.0,0.0,0.0,89.39135313034058,0.0,0.0,0.0,0.0,0.0,90.30267977714539,0.0,0.0,0.0,0.0,0.0,89.07197690010071,0.0,0.0,0.0,0.0,0.0,262.9512069225311,0.0,0.0,0.0,0.0,0.0,551.7119629383087,0.0,0.0,0.0,0.0,0.0,1065.0627784729004
72802464.0,0.0,0.0,0.0,0.0,0.0,33.18337368965149,0.0,0.0,0.0,0.0,0.0,66.04803347587585,0.0,0.0,0.0,0.0,0.0,52.995047092437744,0.0,0.0,0.0,0.0,0.0,52.82166910171509,0.0,0.0,0.0,0.0,0.0,53.37990355491638,0.0,0.0,0.0,0.0,0.0,52.48220205307007,0.0,0.0,0.0,0.0,0.0,141.48736453056335,0.0,0.0,0.0,0.0,0.0,195.14020013809204,0.0,0.0,0.0,0.0,0.0,292.44595670700073
72744278.0,0.0,0.0,0.0,0.0,0.0,0.6301827430725098,0.0,0.0,0.0,0.0,0.0,1.13218092918396,0.0,0.0,0.0,0.0,0.0,0.9325432777404785,0.0,0.0,0.0,0.0,0.0,0.9346747398376465,0.0,0.0,0.0,0.0,0.0,0.942833423614502,0.0,0.0,0.0,0.0,0.0,0.9385771751403809,0.0,0.0,0.0,0.0,0.0,3.0473618507385254,0.0,0.0,0.0,0.0,0.0,5.16451096534729,0.0,0.0,0.0,0.0,0.0,9.790674924850464
72676542.0,1.0,1.0,1.0,1.0,1.0,1.9835035800933838,1.0,1.0,1.0,1.0,1.0,3.61504864692688,1.0,1.0,1.0,1.0,1.0,2.969907522201538,1.0,1.0,1.0,1.0,1.0,2.9552385807037354,1.0,1.0,1.0,1.0,1.0,2.990680456161499,0.0,1.0,0.0,0.0,0.0,2.929077625274658,1.0,1.0,1.0,1.0,1.0,8.255475282669067,1.0,1.0,1.0,1.0,1.0,17.150728464126587,1.0,1.0,1.0,1.0,1.0,32.93873572349548
71715697.0,0.0,0.0,0.0,0.0,0.0,6.266150236129761,0.0,0.0,0.0,0.0,0.0,10.497662782669067,0.0,0.0,0.0,0.0,0.0,8.51120662689209,0.0,0.0,0.0,0.0,0.0,8.528982639312744,0.0,0.0,0.0,0.0,0.0,8.603423357009888,0.0,0.0,0.0,0.0,0.0,8.528076887130737,0.0,0.0,0.0,0.0,0.0,22.837507009506226,0.0,0.0,0.0,0.0,0.0,40.39346528053284,0.0,0.0,0.0,0.0,0.0,78.38959670066833
70650848.0,1.0,1.0,1.0,1.0,1.0,0.14173030853271484,1.0,1.0,1.0,1.0,1.0,0.14077425003051758,1.0,1.0,1.0,1.0,1.0,0.10753273963928223,1.0,1.0,1.0,1.0,1.0,0.11091327667236328,1.0,1.0,1.0,1.0,1.0,0.11334991455078125,0.0,0.0,0.0,0.0,0.0,0.11756086349487305,1.0,1.0,1.0,1.0,1.0,0.14732813835144043,1.0,1.0,1.0,1.0,1.0,0.13699030876159668,1.0,1.0,1.0,1.0,1.0,0.16457438468933105
70589997.0,1.0,1.0,1.0,1.0,1.0,0.5455577373504639,1.0,1.0,1.0,1.0,1.0,1.0271997451782227,1.0,1.0,1.0,1.0,1.0,0.785252571105957,1.0,1.0,1.0,1.0,1.0,0.7963004112243652,1.0,1.0,1.0,1.0,1.0,0.8036544322967529,1.0,1.0,1.0,1.0,1.0,0.7983553409576416,1.0,1.0,1.0,1.0,1.0,2.18998646736145,1.0,1.0,1.0,1.0,1.0,4.531210899353027,1.0,1.0,1.0,1.0,1.0,8.750482559204102
