0,1,2,3,4,5
80.11111111,80.22222222,76.33333333,78.22222222,79.88888889,78.95555556
79.55555556,78.11111111,75.44444444,76.33333333,77.77777778,77.44444444
71.33333333,74,72.33333333,74.33333333,71.11111111,72.62222222
69.66666667,66.66666667,63.44444444,65.66666667,68,66.68888889
66,65.44444444,63,64.66666667,64,64.62222222
79,81.44444444,77,78.55555556,79.11111111,79.02222222
80.33333333,80.77777778,76.88888889,79.66666667,80,79.53333333
79.88888889,80,76.44444444,79,79.66666667,79
80,80,76.44444444,79,79.66666667,79.02222222
