id,0.1_100_7_tarantula,0.1_100_7_ochiai,0.1_100_7_D_star,0.1_100_7_Op2,0.1_100_7_Barinel,0.1_100_7_time,0.1_200_7_tarantula,0.1_200_7_ochiai,0.1_200_7_D_star,0.1_200_7_Op2,0.1_200_7_Barinel,0.1_200_7_time,0.3_200_7_tarantula,0.3_200_7_ochiai,0.3_200_7_D_star,0.3_200_7_Op2,0.3_200_7_Barinel,0.3_200_7_time,0.5_200_7_tarantula,0.5_200_7_ochiai,0.5_200_7_D_star,0.5_200_7_Op2,0.5_200_7_Barinel,0.5_200_7_time,0.7_200_7_tarantula,0.7_200_7_ochiai,0.7_200_7_D_star,0.7_200_7_Op2,0.7_200_7_Barinel,0.7_200_7_time,0.9_200_7_tarantula,0.9_200_7_ochiai,0.9_200_7_D_star,0.9_200_7_Op2,0.9_200_7_Barinel,0.9_200_7_time,0.1_500_7_tarantula,0.1_500_7_ochiai,0.1_500_7_D_star,0.1_500_7_Op2,0.1_500_7_Barinel,0.1_500_7_time,0.1_1000_7_tarantula,0.1_1000_7_ochiai,0.1_1000_7_D_star,0.1_1000_7_Op2,0.1_1000_7_Barinel,0.1_1000_7_time,0.1_2000_7_tarantula,0.1_2000_7_ochiai,0.1_2000_7_D_star,0.1_2000_7_Op2,0.1_2000_7_Barinel,0.1_2000_7_time
74669249.0,1.0,1.0,1.0,1.0,1.0,6.154754877090454,1.0,1.0,1.0,1.0,1.0,9.390617847442627,1.0,1.0,1.0,1.0,1.0,7.723757266998291,1.0,1.0,1.0,1.0,1.0,7.949587821960449,1.0,1.0,1.0,1.0,1.0,7.76401686668396,1.0,1.0,1.0,1.0,1.0,7.732759714126587,1.0,1.0,1.0,1.0,1.0,18.457771062850952,1.0,1.0,1.0,1.0,1.0,32.270822525024414,1.0,1.0,1.0,1.0,1.0,61.03246784210205
74200607.0,0.0,0.0,0.0,0.0,0.0,10.64723801612854,0.0,0.0,0.0,0.0,0.0,11.190184116363525,0.0,0.0,0.0,0.0,0.0,9.305799961090088,0.0,0.0,0.0,0.0,0.0,10.42940640449524,0.0,0.0,0.0,0.0,0.0,9.76828122138977,0.0,0.0,0.0,0.0,0.0,9.708506107330322,0.0,0.0,0.0,0.0,0.0,11.221041679382324,0.0,0.0,0.0,0.0,0.0,10.556003332138062,0.0,0.0,0.0,0.0,0.0,10.498432636260986
73567385.0,0.0,0.0,0.0,0.0,0.0,475.878431558609,0.0,0.0,0.0,0.0,0.0,595.5399143695831,0.0,0.0,0.0,0.0,0.0,513.3961114883423,0.0,0.0,0.0,0.0,0.0,530.6639020442963,0.0,0.0,0.0,0.0,0.0,564.8031949996948,0.0,0.0,0.0,0.0,0.0,550.7102899551392,0.0,0.0,0.0,0.0,0.0,1608.9620373249054,0.0,0.0,0.0,0.0,0.0,2545.620100736618,0.0,0.0,0.0,0.0,0.0,5060.778665065765
73308371.0,1.0,1.0,1.0,1.0,1.0,0.16460609436035156,1.0,1.0,1.0,1.0,1.0,0.18512439727783203,1.0,1.0,1.0,1.0,1.0,0.15221190452575684,1.0,1.0,1.0,1.0,1.0,0.1591792106628418,1.0,1.0,1.0,1.0,1.0,0.1549515724182129,1.0,1.0,1.0,1.0,1.0,0.15135502815246582,1.0,1.0,1.0,1.0,1.0,0.20514392852783203,1.0,1.0,1.0,1.0,1.0,0.1818222999572754,1.0,1.0,1.0,1.0,1.0,0.330303430557251
73275569.0,0.0,0.0,0.0,0.0,0.0,4.987655401229858,0.0,0.0,0.0,0.0,0.0,8.992907047271729,0.0,0.0,0.0,0.0,0.0,6.358157157897949,0.0,0.0,0.0,0.0,0.0,6.334092855453491,0.0,0.0,0.0,0.0,0.0,6.136896848678589,0.0,0.0,0.0,0.0,0.0,6.103624582290649,0.0,0.0,0.0,0.0,0.0,15.41858196258545,0.0,0.0,0.0,0.0,0.0,27.976442098617554,0.0,0.0,0.0,0.0,0.0,49.59530448913574
72965428.0,0.0,0.0,0.0,0.0,0.0,62.734543561935425,0.0,0.0,0.0,0.0,0.0,108.48372507095337,0.0,0.0,0.0,0.0,0.0,88.90734362602234,0.0,0.0,0.0,0.0,0.0,89.64022922515869,0.0,0.0,0.0,0.0,0.0,88.18702411651611,0.0,0.0,0.0,0.0,0.0,87.98106336593628,0.0,0.0,0.0,0.0,0.0,243.4091396331787,0.0,0.0,0.0,0.0,0.0,498.048663854599,0.0,0.0,0.0,0.0,0.0,990.3627362251282
72802464.0,0.0,0.0,0.0,0.0,0.0,44.60338020324707,0.0,0.0,0.0,0.0,0.0,78.54106116294861,0.0,0.0,0.0,0.0,0.0,53.51885104179382,0.0,0.0,0.0,0.0,0.0,53.33637619018555,0.0,0.0,0.0,0.0,0.0,52.94465517997742,0.0,0.0,0.0,0.0,0.0,52.695709228515625,0.0,0.0,0.0,0.0,0.0,135.3516924381256,0.0,0.0,0.0,0.0,0.0,190.56412029266357,0.0,0.0,0.0,0.0,0.0,288.1353681087494
72744278.0,0.0,0.0,0.0,0.0,0.0,0.6887810230255127,0.0,0.0,0.0,0.0,0.0,1.1452040672302246,0.0,0.0,0.0,0.0,0.0,0.9665126800537109,0.0,0.0,0.0,0.0,0.0,0.9333338737487793,0.0,0.0,0.0,0.0,0.0,0.9336953163146973,0.0,0.0,0.0,0.0,0.0,0.9332871437072754,0.0,0.0,0.0,0.0,0.0,2.7009809017181396,0.0,0.0,0.0,0.0,0.0,5.290472745895386,0.0,0.0,0.0,0.0,0.0,9.698004245758057
72676542.0,1.0,1.0,1.0,1.0,1.0,2.3476860523223877,1.0,1.0,1.0,1.0,1.0,5.385961294174194,1.0,1.0,1.0,1.0,1.0,3.0341973304748535,1.0,1.0,1.0,1.0,1.0,3.000187635421753,1.0,1.0,1.0,1.0,1.0,2.989870548248291,1.0,1.0,0.0,1.0,1.0,2.9800236225128174,1.0,1.0,1.0,1.0,1.0,8.393635749816895,1.0,1.0,1.0,1.0,1.0,18.020485162734985,1.0,1.0,1.0,1.0,1.0,32.36262321472168
71715697.0,0.0,0.0,0.0,0.0,0.0,12.88933515548706,0.0,0.0,0.0,0.0,0.0,35.89611077308655,0.0,0.0,0.0,0.0,0.0,8.680448770523071,0.0,0.0,0.0,0.0,0.0,8.629171371459961,0.0,0.0,0.0,0.0,0.0,8.521161794662476,0.0,0.0,0.0,0.0,0.0,8.551444292068481,0.0,0.0,0.0,0.0,0.0,22.82926893234253,0.0,0.0,0.0,0.0,0.0,56.88621544837952,0.0,0.0,0.0,0.0,0.0,70.6091001033783
70650848.0,1.0,1.0,1.0,1.0,1.0,0.1913135051727295,1.0,1.0,1.0,1.0,1.0,0.15636968612670898,1.0,1.0,1.0,1.0,1.0,0.10922718048095703,1.0,1.0,1.0,1.0,1.0,0.1116936206817627,1.0,0.0,0.0,0.0,1.0,0.11265969276428223,0.0,0.0,0.0,0.0,0.0,0.11139488220214844,1.0,1.0,1.0,1.0,1.0,0.1401071548461914,1.0,1.0,1.0,1.0,1.0,0.15002918243408203,1.0,1.0,1.0,1.0,1.0,0.13545012474060059
70589997.0,1.0,1.0,1.0,1.0,1.0,0.8320152759552002,1.0,1.0,1.0,1.0,1.0,1.2806072235107422,1.0,1.0,1.0,1.0,1.0,0.8047430515289307,1.0,1.0,1.0,1.0,1.0,0.8081178665161133,1.0,1.0,1.0,1.0,1.0,0.8088715076446533,1.0,1.0,1.0,1.0,1.0,0.7964937686920166,1.0,1.0,1.0,1.0,1.0,2.091010570526123,1.0,1.0,1.0,1.0,1.0,6.602988004684448,1.0,1.0,1.0,1.0,1.0,7.9772374629974365
